District Name,Type,Total Revenue,number of students,Student Teacher Ratio,total number of schools,%white,%black,%hispanic,%asian,%American indian,%two or more,%of families below poverty level
Adair County,Town: Remote ,"31,510,000.00","2,601.00",14.95,5,92,2,2,0,0,3,26.7
Allen County,Rural: Fringe,"35,346,000.00","3,012.00",16.55,6,95,1,2,0,0,2,26.6
Anchorage Independent,Suburb: Large,"8,786,000.00",400.00,10.55,1,89,3,2,4,0,2,2.3
Breckinridge County,Rural: Distant ,"34,321,000.00","2,707.00",16.51,6,93,2,2,0,0,3,24.2
Bourbon County,Town: Distant,"287,356,000.00","20,201.00",14.83,28,86,4,5,2,0,3,6.2
Bowling Green Independent,City: Small,"57,400,000.00","4,177.00",14.97,10,73,10,8,2,0,5,38.7
Covington Independent,Suburb: Large,"58,418,000.00","3,743.00",13.76,11,71,13,10,1,0,5,44.4
Danville Independent,Town: Distant,"29,223,000.00","1,871.00",12.52,6,76,13,5,1,0,3,18.7
Elizabethtown Independent,City: Small,"29,224,000.00","2,471.00",15.94,7,77,12,5,2,1,3,16.8
Fayette County,City: Large,"633,648,000.00","41,415.00",13.47,80,70,15,7,4,0,4,17.1
Fulton County,Rural: Distant ,"8,151,000.00",638.00,13.02,3,78,20,0,0,0,2,23.5
Glasgow Independent,Town: Distant ,"29,875,000.00","2,388.00",14.94,7,83,6,7,1,0,2,42.1
Hardin County,Suburb: Small,"172,347,000.00","14,571.00",15.73,26,77,12,4,2,0,5,8.3
Hazard Independent,Town: Remote,"13,110,000.00",971.00,13.87,5,87,1,3,5,1,3,26.7
Jefferson County,City: Large ,"1,491,611,000.00","94,393.00",15.17,168,66,22,6,3,0,3,19.3
LaRue County,Rural: Fringe,"28,179,000.00","2,345.00",15.34,6,91,3,3,0,0,2,13.2
Lewis County,Rural: Remote,"27,377,000.00","2,046.00",13.82,7,97,0,0,0,0,2,37.6
Magoffin County,Rural: Remote,"27,919,000.00","2,019.00",15.19,5,97,0,1,0,0,1,27.1
Mayfield Independent,Town: Remote,"24,239,000.00","1,998.00",17.54,3,73,12,10,1,0,4,30.9
McCracken County,Town: Remote,"84,109,000.00","6,856.00",16.51,14,90,4,2,1,0,3,11.9
Middlesboro Independent,Town: Distant,"15,864,000.00","1,079.00",12.26,7,89,4,3,0,0,4,31
Morgan County,Rural: Remote,"26,890,000.00","1,881.00",14.04,8,92,3,1,1,1,1,28.8
Muhlenberg County,Rural: Fringe,"60,608,000.00","4,387.00",15.18,11,92,4,2,0,0,2,19.7
Murray Independent,Town: Remote,"24,962,000.00","1,771.00",14.64,4,85,7,2,2,0,3,17.4
Owensboro Independent,City: Small,"69,869,000.00","4,935.00",13.2,13,81,8,6,2,0,3,29.5
Pike County,Rural: Distant,"113,857,000.00","7,794.00",15.28,20,97,1,1,0,0,1,29.5
Russell County,Rural: Remote,"36,591,000.00","2,943.00",15.66,5,93,1,4,0,0,2,27
Spencer County,Rural: Distant,"35,107,000.00","3,217.00",17.19,6,94,2,3,0,0,2,5.4
Walton-Verona Independent,Suburb: Large ,"27,200,000.00","1,864.00",16.5,4,96,0,1,1,0,1,10
Woodford County,Town: Fringe,"49,597,000.00","3,988.00",16.1,7,86,4,7,0,0,3,6.4